average_rating,# num_pages,ratings_count,text_reviews_count
4.56,652,1944099,26249
4.49,870,1996446,27613
4.47,320,5629932,70390
4.41,352,6267,272
4.55,435,2149872,33964
4.78,2690,38872,154
3.69,152,18,1
4.73,3342,27410,820
4.38,815,3602,258
4.38,815,240189,3954
4.22,215,4416,408
4.22,6,1222,253
4.38,815,2801,192
4.2,544,228522,8840
3.43,55,6993,470
3.88,256,2020,124
4.07,335,68213,4077
3.9,304,47490,2153
3.83,299,43779,2146
3.87,254,46397,2127
3.92,324,76476,3159
3.94,270,26672,1986
4.59,1728,97731,1536
4.49,1184,1670,91
4.49,1137,2819,139
4.35,398,2009749,12784
4.49,1216,1606,139
4.53,218,18934,43
4.5,224,343,6
4.49,1223,216,19
3.61,288,1214,202
3.89,558,1269,59
3.7,208,254827,11346
3.97,48,35,2
3.87,144,1996,326
4.33,56,6,0
3.48,228,99,16
3.75,304,167,4
3.6,256,957,112
4.07,137,4319,289
4.17,228,1155,92
3.56,339,295,42
3.99,369,341,12
3.83,388,28962,2576
3.83,14,50,12
3.83,576,22,3
3.83,334,1398,78
4.16,352,50,4
3.83,388,15,2
4.43,416,550,36
3.95,248,1561,192
4.15,128,253,18
4.24,288,3365,290
4.33,720,2966,211
4.22,448,5452,245
3.91,160,671,52
4.22,288,533,34
4.22,208,1263,91
3.73,81,1348,69
3.83,249,2732,63
3.94,138,31,1
3.75,128,61,4
4.45,192,822,53
3.7,72,71,2
3.98,352,150657,2175
3.28,192,53,5
4.45,192,34,6
3.88,832,11489,658
3.82,123,34,8
3.75,128,75,4
3.83,423,2692,168
3.9,436,38651,552
3.87,331,96649,2306
4,592,755,21
3.85,480,261,18
3.87,426,4561,76
3.92,408,84276,1370
3.85,471,45211,616
4.35,544,66687,4445
4.35,291,44,12
4.28,256,16,1
3.31,205,163,16
3.79,240,10,0
3.49,336,73,9
3.5,386,102,9
3.62,260,24,0
3.52,384,51,4
4.27,260,9,0
3.55,391,19,1
3.89,864,17,3
3.82,873,163,4
4.09,240,47,5
4.08,206,12,2
3.65,514,49,1
4.04,838,15747,1795
4.04,960,108970,5694
4.04,837,2835,300
3.89,80,15,3
4.04,803,9362,710
4.04,752,460,71
4.04,803,298,47
2.96,368,400,64
